ts,iso,open,high,low,close,vol
1748052900000,2025-05-24T02:15:00.000Z,2530.38,2539.52,2530.38,2537.84,646.9071662
1748053800000,2025-05-24T02:30:00.000Z,2537.95,2544.22,2536.04,2542.05,508.1146654
1748054700000,2025-05-24T02:45:00.000Z,2541.77,2544.86,2537.71,2540.93,347.8861216
1748055600000,2025-05-24T03:00:00.000Z,2540.8,2550.49,2538.07,2547.55,633.506797
1748056500000,2025-05-24T03:15:00.000Z,2547.7,2556.08,2546.72,2553.34,511.6567894
1748057400000,2025-05-24T03:30:00.000Z,2553.34,2553.88,2547.54,2548.66,289.6473216
1748058300000,2025-05-24T03:45:00.000Z,2548.3,2551.58,2545.01,2549.93,338.5620028
1748059200000,2025-05-24T04:00:00.000Z,2550.09,2552.96,2545.86,2550.49,311.2581875
1748060100000,2025-05-24T04:15:00.000Z,2550.24,2554.62,2550.08,2553.4,234.1382707
1748061000000,2025-05-24T04:30:00.000Z,2552.34,2559.15,2550.85,2557.39,295.2737859
1748061900000,2025-05-24T04:45:00.000Z,2557.61,2563.19,2556.48,2559.46,542.2053962
1748062800000,2025-05-24T05:00:00.000Z,2559.46,2560.19,2551.75,2553.87,749.5809875
1748063700000,2025-05-24T05:15:00.000Z,2553.78,2553.78,2545.24,2551.21,677.4421426
1748064600000,2025-05-24T05:30:00.000Z,2551.21,2553.22,2545,2547.04,274.0314741
1748065500000,2025-05-24T05:45:00.000Z,2546.96,2551.59,2543.41,2551.05,256.9873636
1748066400000,2025-05-24T06:00:00.000Z,2551.04,2555.72,2549.99,2551.72,229.66224
1748067300000,2025-05-24T06:15:00.000Z,2551.48,2551.92,2545.2,2550.5,298.8227911
1748068200000,2025-05-24T06:30:00.000Z,2550.49,2550.49,2535.6,2543.44,835.6173564
1748069100000,2025-05-24T06:45:00.000Z,2543.87,2547.32,2537.98,2547.32,339.9232504
1748070000000,2025-05-24T07:00:00.000Z,2547.31,2558.39,2547.31,2555.6,665.0657498
1748070900000,2025-05-24T07:15:00.000Z,2555.6,2560.33,2554.67,2559.64,436.5592819
1748071800000,2025-05-24T07:30:00.000Z,2559.64,2559.65,2549.34,2551.3,394.074551
1748072700000,2025-05-24T07:45:00.000Z,2551.6,2551.76,2544.39,2547.08,617.7647978
1748073600000,2025-05-24T08:00:00.000Z,2547.08,2557.52,2545.92,2554.16,822.963324
1748074500000,2025-05-24T08:15:00.000Z,2554.17,2554.36,2545.31,2548.6,536.7346359
1748075400000,2025-05-24T08:30:00.000Z,2548.6,2554.42,2546.11,2553.46,449.6650972
1748076300000,2025-05-24T08:45:00.000Z,2553.27,2558.57,2552.81,2556.65,363.86628
1748077200000,2025-05-24T09:00:00.000Z,2556.65,2559.06,2553.16,2553.49,355.6019994
1748078100000,2025-05-24T09:15:00.000Z,2553.5,2560.6,2553.5,2558.13,364.1870704
1748079000000,2025-05-24T09:30:00.000Z,2558.13,2560.01,2556.04,2558.48,284.4596585
1748079900000,2025-05-24T09:45:00.000Z,2558.06,2559.01,2551.31,2552.72,587.1555214
1748080800000,2025-05-24T10:00:00.000Z,2552.73,2555.85,2552.43,2552.79,375.6503907
1748081700000,2025-05-24T10:15:00.000Z,2552.82,2559.95,2552.82,2559.95,378.6468763
1748082600000,2025-05-24T10:30:00.000Z,2559.83,2572.95,2559.82,2570.63,1078.540771
1748083500000,2025-05-24T10:45:00.000Z,2570.38,2575.58,2567.81,2570.17,552.5793392
1748084400000,2025-05-24T11:00:00.000Z,2570.87,2575.62,2566.8,2566.97,589.7661281
1748085300000,2025-05-24T11:15:00.000Z,2567,2571.21,2563.3,2568.02,393.7716921
1748086200000,2025-05-24T11:30:00.000Z,2568.02,2571.56,2564.78,2564.78,493.2551013
1748087100000,2025-05-24T11:45:00.000Z,2564.79,2566.99,2562.2,2562.58,370.9384547
1748088000000,2025-05-24T12:00:00.000Z,2563.19,2565.26,2552.36,2558.17,780.717907
1748088900000,2025-05-24T12:15:00.000Z,2557.59,2560.53,2549.42,2556.9,566.0946162
1748089800000,2025-05-24T12:30:00.000Z,2556.91,2559.44,2553.62,2557.72,362.1515212
1748090700000,2025-05-24T12:45:00.000Z,2557.72,2560.21,2554.15,2559.35,313.4293907
1748091600000,2025-05-24T13:00:00.000Z,2559.42,2562.24,2553.33,2554.92,655.1506531
1748092500000,2025-05-24T13:15:00.000Z,2553.88,2557.88,2549.14,2557.02,675.5550377
1748093400000,2025-05-24T13:30:00.000Z,2557.02,2557.8,2551.01,2552.17,439.5404406
1748094300000,2025-05-24T13:45:00.000Z,2552.58,2554.74,2543.68,2546.62,542.6689229
1748095200000,2025-05-24T14:00:00.000Z,2546.27,2554.42,2543.67,2553.09,463.1723641
1748096100000,2025-05-24T14:15:00.000Z,2553.1,2557.74,2548.8,2549.56,348.63326025
